id,received_at,source,action,symbol,price,timeframe,exchange,alert_timestamp,raw_payload
11,2026-06-18T14:00:01.323590+00:00,Greedy Futures Indicator,CLOSE_ALL,MNQ1!,30467.00,15,CME_MINI,2026-06-18T14:00:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""CLOSE_ALL"", ""symbol"": ""MNQ1!"", ""price"": ""30467.00"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-18T14:00:00Z""}"
12,2026-06-18T15:00:00.752121+00:00,Greedy Futures Indicator,LONG,MNQ1!,30623.25,15,CME_MINI,2026-06-18T15:00:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""LONG"", ""symbol"": ""MNQ1!"", ""price"": ""30623.25"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-18T15:00:00Z""}"
13,2026-06-18T15:15:03.438308+00:00,Greedy Futures Indicator,LONG_ADD,MNQ1!,30628.50,15,CME_MINI,2026-06-18T15:15:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""LONG_ADD"", ""symbol"": ""MNQ1!"", ""price"": ""30628.50"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-18T15:15:00Z""}"
14,2026-06-18T15:30:00.190818+00:00,Greedy Futures Indicator,CLOSE_ALL,MNQ1!,30582.75,15,CME_MINI,2026-06-18T15:30:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""CLOSE_ALL"", ""symbol"": ""MNQ1!"", ""price"": ""30582.75"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-18T15:30:00Z""}"
15,2026-06-19T14:00:00.979164+00:00,Greedy Futures Indicator,LONG,MNQ1!,30681.75,15,CME_MINI,2026-06-19T14:00:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""LONG"", ""symbol"": ""MNQ1!"", ""price"": ""30681.75"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-19T14:00:00Z""}"
16,2026-06-19T14:15:01.060967+00:00,Greedy Futures Indicator,CLOSE_ALL,MNQ1!,30663.50,15,CME_MINI,2026-06-19T14:15:00Z,"{""secret"": ""greedy_mnq_2026_9xQ72"", ""source"": ""Greedy Futures Indicator"", ""action"": ""CLOSE_ALL"", ""symbol"": ""MNQ1!"", ""price"": ""30663.50"", ""timeframe"": ""15"", ""exchange"": ""CME_MINI"", ""timestamp"": ""2026-06-19T14:15:00Z""}"
17,2026-06-23T13:45:12.055064+00:00,Greedy Futures Indicator,LONG,MNQ1!,29759.25,15,CME_MINI,2026-06-23T13:45:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""LONG"",""symbol"":""MNQ1!"",""price"":""29759.25"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-23T13:45:00Z""}"
18,2026-06-23T14:00:04.215666+00:00,Greedy Futures Indicator,LONG_ADD,MNQ1!,29926.00,15,CME_MINI,2026-06-23T14:00:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""LONG_ADD"",""symbol"":""MNQ1!"",""price"":""29926.00"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-23T14:00:00Z""}"
19,2026-06-23T14:15:07.951348+00:00,Greedy Futures Indicator,LONG,MNQ1!,30002.25,15,CME_MINI,2026-06-23T14:15:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""LONG"",""symbol"":""MNQ1!"",""price"":""30002.25"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-23T14:15:00Z""}"
20,2026-06-23T14:45:02.001787+00:00,Greedy Futures Indicator,SHORT,MNQ1!,29884.75,15,CME_MINI,2026-06-23T14:45:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""SHORT"",""symbol"":""MNQ1!"",""price"":""29884.75"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-23T14:45:00Z""}"
21,2026-06-25T13:45:02.582536+00:00,Greedy Futures Indicator,SHORT,MNQ1!,29768.00,15,CME_MINI,2026-06-25T13:45:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""SHORT"",""symbol"":""MNQ1!"",""price"":""29768.00"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-25T13:45:00Z""}"
22,2026-06-25T14:00:03.921361+00:00,Greedy Futures Indicator,SHORT_ADD,MNQ1!,29317.00,15,CME_MINI,2026-06-25T14:00:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""SHORT_ADD"",""symbol"":""MNQ1!"",""price"":""29317.00"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-25T14:00:00Z""}"
23,2026-06-25T15:15:03.216577+00:00,Greedy Futures Indicator,SHORT,MNQ1!,29533.25,15,CME_MINI,2026-06-25T15:15:00Z,"{""secret"":""greedy_mnq_2026_9xQ72"",""source"":""Greedy Futures Indicator"",""action"":""SHORT"",""symbol"":""MNQ1!"",""price"":""29533.25"",""timeframe"":""15"",""exchange"":""CME_MINI"",""timestamp"":""2026-06-25T15:15:00Z""}"
